"row ID","ID","DemAffl","DemAge","DemCluster","DemClusterGroup","DemGender","DemReg","DemTVReg","PromClass","PromSpend","PromTime","TargetBuy","TargetAmt"
"Row23","0000020761",7.0,66.0,"30","D","M","South East","S & S East","Silver",1000.0,5.0,0.0,0.0
"Row24","0000023124",6.0,46.0,"27","D","F","South East","London","Tin",0.009999999999999998,8.0,0.0,0.0
"Row25","0000024554",10.0,39.0,,,"M","Midlands","Ulster","Tin",0.009999999999999998,5.0,0.0,0.0
"Row26","0000024880",7.0,75.0,"12","B","M","Midlands","East","Silver",4000.0,7.0,0.0,0.0
"Row27","0000026387",,72.0,,,"F","Midlands","Ulster","Silver",1250.0,23.0,1.0,1.0
"Row28","0000027715",7.0,43.0,"53","F","M","North","N West","Tin",0.009999999999999998,5.0,1.0,1.0
"Row29","0000029173",7.0,62.0,"24","C","F","Midlands","Wales & West","Gold",20000.0,4.0,0.0,0.0
"Row30","0000029440",8.0,37.0,"05","B","M","South West","S West","Silver",1000.0,9.0,1.0,1.0
"Row31","0000030600",9.0,49.0,"48","F","F","South East","London","Tin",0.009999999999999998,8.0,0.0,0.0
"Row32","0000030937",8.0,79.0,"32","D",,"North","N East","Gold",6000.0,1.0,0.0,0.0
"Row33","0000039330",,,"50","F","M","Midlands","East","Tin",0.009999999999999998,4.0,0.0,0.0
"Row34","0000041092",3.0,50.0,"35","D","F","Midlands","East","Gold",9800.0,3.0,0.0,0.0
"Row35","0000041475",,66.0,"28","D","M","South East","London","Tin",0.009999999999999998,11.0,0.0,0.0
"Row36","0000042439",15.0,35.0,"19","C","F","Midlands","Wales & West","Silver",1630.0,5.0,1.0,1.0
"Row37","0000045799",10.0,71.0,"14","B","F","Midlands","Wales & West","Silver",1500.0,5.0,0.0,0.0
"Row38","0000046906",7.0,44.0,"51","F","F","North","N West","Silver",1000.0,1.0,0.0,0.0
"Row39","0000050237",8.0,42.0,"15","B","M","North","N East","Tin",0.009999999999999998,5.0,0.0,0.0
"Row40","0000051950",9.0,68.0,"08","B","F","South West","S West","Gold",6053.25,5.0,1.0,1.0
"Row41","0000054496",9.0,31.0,"32","D","F","North","Yorkshire","Tin",0.009999999999999998,4.0,0.0,0.0
"Row42","0000056073",8.0,70.0,"12","B","F","South East","London","Gold",19053.82,15.0,0.0,0.0
"Row43","0000057002",7.0,72.0,"38","E","F","North","N East","Platinum",20526.96,3.0,0.0,0.0
"Row44","0000057622",12.0,41.0,,,"M","Midlands","East","Tin",0.009999999999999998,9.0,0.0,0.0
"Row45","0000059056",9.0,37.0,"52","F","F","North","N East","Gold",6000.0,1.0,1.0,1.0
"Row46","0000059862",8.0,58.0,"24","C","F","North","N West","Gold",10053.349999999999,7.0,0.0,0.0
"Row47","0000063002",7.0,47.0,"31","D","F","South East","London","Silver",0.019999999999999997,5.0,0.0,0.0
"Row48","0000063983",8.0,71.0,"37","E","M","Midlands","East","Silver",1000.0,6.0,0.0,0.0
"Row49","0000071986",8.0,62.0,"27","D","F","Midlands","Midlands","Silver",1000.0,5.0,1.0,1.0
"Row50","0000072559",15.0,72.0,"37","E","U","Midlands","Midlands","Gold",6340.26,12.0,0.0,0.0
"Row51","0000073148",8.0,39.0,"44","E","F","Midlands","Midlands","Silver",2241.3599999999997,4.0,1.0,1.0
"Row52","0000075205",6.0,76.0,"34","D","M","Midlands","Wales & West","Gold",12000.0,19.0,0.0,0.0
"Row53","0000075469",7.0,61.0,"11","B","F","Scottish","Border","Gold",6000.0,11.0,1.0,1.0
"Row54","0000080322",6.0,53.0,"32","D",,"Midlands","Midlands","Tin",0.009999999999999998,5.0,0.0,0.0
"Row55","0000080608",8.0,60.0,"22","C","M","North","Yorkshire","Silver",60.0,11.0,1.0,1.0
"Row56","0000082678",15.0,42.0,"52","F","F","South East","London","Tin",0.009999999999999998,5.0,1.0,1.0
"Row57","0000083852",13.0,,"04","A","F","South East","London","Silver",5000.0,4.0,0.0,0.0
"Row58","0000084573",10.0,57.0,"38","E","F","Midlands","Midlands","Silver",50.0,11.0,0.0,0.0
"Row59","0000087750",6.0,45.0,"51","F","M","Midlands","Midlands","Tin",0.009999999999999998,4.0,0.0,0.0
"Row60","0000089796",11.0,75.0,"12","B","F","Midlands","East","Silver",3052.66,8.0,1.0,1.0
"Row61","0000091588",8.0,37.0,"38","E","F","North","Yorkshire","Tin",0.009999999999999998,5.0,1.0,1.0
"Row62","0000093564",13.0,61.0,"42","E","U","South West","S West","Silver",3000.0,8.0,0.0,0.0
"Row63","0000095036",12.0,61.0,"08","B","F",,,"Silver",1020.0,9.0,0.0,0.0
"Row64","0000095982",19.0,39.0,"04","A","F","North","Yorkshire","Tin",0.009999999999999998,8.0,1.0,3.0
"Row65","0000097802",7.0,55.0,,,"M","Midlands","Ulster","Silver",2000.0,1.0,0.0,0.0
"Row66","0000102385",8.0,57.0,"08","B","M","Scottish","C Scotland","Gold",9000.0,9.0,0.0,0.0
"Row67","0000103225",13.0,18.0,"22","C","F","South East","S & S East","Gold",6000.0,1.0,0.0,0.0
"Row68","0000108413",5.0,56.0,"01","A","U","North","N West","Silver",3000.0,8.0,0.0,0.0
"Row69","0000109819",9.0,50.0,"27","D","F","North","N East","Gold",20000.0,4.0,0.0,0.0
"Row70","0000113743",,54.0,"51","F","F","North","N West","Silver",2000.0,2.0,0.0,0.0
"Row71","0000117498",11.0,67.0,"15","B","U","North","N East","Platinum",22000.0,8.0,0.0,0.0
"Row72","0000118397",7.0,78.0,"37","E","F","Midlands","Midlands","Silver",2000.0,24.0,0.0,0.0
"Row73","0000121312",5.0,61.0,"19","C","F","Midlands","Midlands","Tin",0.009999999999999998,5.0,0.0,0.0
"Row74","0000121495",5.0,45.0,"14","B",,"South East","London","Silver",600.0,11.0,0.0,0.0
"Row75","0000124710",11.0,66.0,"01","A","F","South East","London","Silver",2000.0,5.0,0.0,0.0
"Row76","0000126098",2.0,51.0,"24","C","U","North","Yorkshire","Gold",10000.0,5.0,0.0,0.0
"Row77","0000126586",3.0,,"18","C","F","Midlands","Midlands","Gold",15000.0,1.0,0.0,0.0
"Row78","0000127892",10.0,60.0,"12","B",,"North","N West","Silver",1020.0,9.0,0.0,0.0
"Row79","0000129283",9.0,48.0,"19","C","M","Midlands","East","Silver",3000.0,2.0,0.0,0.0
"Row80","0000129410",8.0,53.0,"24","C","F","South East","S & S East","Silver",100.0,1.0,0.0,0.0
"Row81","0000134872",10.0,72.0,"45","E","U","Midlands","Midlands","Gold",12000.0,8.0,1.0,1.0
"Row82","0000140597",9.0,68.0,"41","E","F","South East","London","Tin",0.009999999999999998,7.0,0.0,0.0
"Row83","0000144649",8.0,47.0,"01","A","F","Scottish","N Scot","Tin",0.009999999999999998,5.0,0.0,0.0
"Row84","0000145157",11.0,39.0,"40","E","F","South East","London","Silver",2800.0,1.0,1.0,1.0
"Row85","0000146730",12.0,72.0,"04","A","F","South East","London","Tin",0.009999999999999998,8.0,0.0,0.0
"Row86","0000148415",10.0,67.0,"40","E","M","South East","London","Gold",6000.0,4.0,0.0,0.0
"Row87","0000148849",9.0,60.0,"25","C","F","South East","London","Tin",0.009999999999999998,8.0,0.0,0.0
"Row88","0000151432",6.0,,"30","D","M","North","Yorkshire","Gold",9000.0,3.0,0.0,0.0
"Row89","0000154040",11.0,52.0,"52","F","M","North","N West","Tin",0.009999999999999998,9.0,0.0,0.0
"Row90","0000156515",7.0,55.0,"27","D","F","Midlands","Midlands","Tin",0.009999999999999998,8.0,0.0,0.0
"Row91","0000158216",14.0,65.0,,,"M","South East","S & S East","Gold",6053.349999999999,6.0,0.0,0.0
"Row92","0000159522",13.0,41.0,"12","B","M","South East","London","Tin",0.009999999999999998,7.0,1.0,1.0
"Row93","0000162485",16.0,34.0,"28","D","F","Midlands","East","Silver",3000.0,3.0,1.0,2.0
"Row94","0000165808",6.0,40.0,"32","D","F","North","N West","Silver",1500.0,7.0,1.0,1.0
"Row95","0000168394",9.0,35.0,"53","F","F","South East","London","Tin",0.009999999999999998,4.0,1.0,1.0
"Row96","0000170127",7.0,50.0,"10","B","M","North","Yorkshire","Silver",5000.0,10.0,0.0,0.0
"Row97","0000181498",6.0,62.0,"01","A",,"North","N West","Silver",3000.0,29.0,0.0,0.0
"Row98","0000191396",7.0,,"51","F","M","North","Yorkshire","Tin",0.009999999999999998,10.0,0.0,0.0
"Row99","0000192791",9.0,60.0,"16","C","M","Midlands","East","Gold",8100.0,5.0,0.0,0.0
"Row100","0000197440",8.0,49.0,"14","B","F","North","N West","Gold",7600.0,4.0,0.0,0.0
"Row101","0000202878",6.0,57.0,"53","F","M","Midlands","Midlands","Silver",2000.0,8.0,0.0,0.0
"Row102","0000203289",7.0,52.0,"51","F","U","Midlands","Midlands","Platinum",23053.35,6.0,0.0,0.0
"Row103","0000206032",6.0,75.0,"52","F","M","Scottish","C Scotland","Gold",10000.0,17.0,0.0,0.0
"Row104","0000209732",15.0,55.0,"37","E",,"Midlands","Midlands","Gold",10000.0,6.0,0.0,0.0
"Row105","0000213241",5.0,57.0,"51","F","F",,,"Gold",12000.0,1.0,0.0,0.0
"Row106","0000215554",8.0,52.0,"22","C","F","North","N West","Silver",2500.0,6.0,1.0,1.0
"Row107","0000217158",12.0,74.0,"03","A","F","Midlands","East","Gold",6000.0,5.0,0.0,0.0
"Row108","0000223182",9.0,79.0,"28","D","F","South East","London","Silver",5000.0,5.0,0.0,0.0
"Row109","0000234540",6.0,48.0,"32","D",,"North","Yorkshire","Silver",420.0,4.0,0.0,0.0
"Row110","0000239844",11.0,60.0,"41","E",,"South East","London","Tin",0.009999999999999998,8.0,0.0,0.0
"Row111","0000243051",3.0,38.0,"53","F","F","North","N West","Silver",50.0,9.0,1.0,1.0
"Row112","0000248258",9.0,58.0,"10","B","F","North","N West","Silver",5000.0,5.0,0.0,0.0
"Row113","0000249335",4.0,52.0,"30","D","M","Midlands","Wales & West","Silver",1800.0,4.0,0.0,0.0
"Row114","0000252646",3.0,45.0,"47","F","F","North","Yorkshire","Silver",100.01,9.0,0.0,0.0
"Row115","0000253839",9.0,42.0,"51","F","F","North","N West","Silver",2000.0,4.0,0.0,0.0
"Row116","0000256366",10.0,40.0,"51","F","U","Midlands","Midlands","Silver",50.0,10.0,0.0,0.0
"Row117","0000259802",5.0,55.0,"35","D",,"Midlands","Midlands","Gold",10100.0,8.0,0.0,0.0
"Row118","0000262684",8.0,77.0,"23","C",,"Midlands","Midlands","Gold",6000.0,3.0,0.0,0.0
"Row119","0000263419",11.0,27.0,"19","C","F","South East","London","Tin",0.009999999999999998,7.0,1.0,2.0
"Row120","0000267236",4.0,60.0,"37","E","F","North","N West","Tin",0.009999999999999998,8.0,0.0,0.0
"Row121","0000270962",7.0,58.0,"04","A","U","South East","London","Silver",2500.0,5.0,0.0,0.0
"Row122","0000271101",7.0,54.0,"05","B",,"Midlands","Midlands","Tin",0.009999999999999998,,0.0,0.0
"Row123","0000274623",7.0,42.0,"32","D","M","North","N West","Tin",0.009999999999999998,4.0,0.0,0.0
"Row124","0000275700",10.0,36.0,"48","F","F",,,"Silver",1000.0,9.0,1.0,1.0
"Row125","0000276871",6.0,,"41","E","F","South East","London","Gold",5500.0,1.0,1.0,1.0
"Row126","0000277010",4.0,57.0,"31","D","F","South East","London","Tin",0.009999999999999998,5.0,0.0,0.0
"Row127","0000278661",10.0,72.0,"18","C","F","Midlands","Midlands","Gold",11105.32,8.0,0.0,0.0
"Row128","0000280895",10.0,,"17","C","F","Midlands","East","Tin",0.009999999999999998,6.0,1.0,1.0
"Row129","0000282057",7.0,37.0,"51","F","F","North","N West","Tin",0.009999999999999998,5.0,0.0,0.0
"Row130","0000285846",9.0,76.0,"51","F","F","Midlands","East","Silver",2000.0,8.0,1.0,1.0
"Row131","0000287628",6.0,45.0,"34","D","F","North","N West","Tin",0.009999999999999998,5.0,0.0,0.0
"Row132","0000288748",14.0,,"19","C","F","South East","S & S East","Gold",10000.0,8.0,0.0,0.0
"Row133","0000290890",,51.0,"48","F","M","South East","London","Silver",0.019999999999999997,9.0,0.0,0.0
"Row134","0000293083",15.0,61.0,"12","B",,"South East","S & S East","Silver",500.0,2.0,0.0,0.0
"Row135","0000293555",12.0,61.0,"11","B","F","Scottish","N Scot","Silver",4000.0,1.0,0.0,0.0
"Row136","0000295620",9.0,47.0,,,"M","Midlands","Ulster","Tin",0.009999999999999998,5.0,0.0,0.0
"Row137","0000297194",8.0,52.0,"50","F","U","Midlands","East","Tin",0.009999999999999998,8.0,0.0,0.0
"Row138","0000300845",8.0,40.0,"38","E","U","Midlands","Midlands","Silver",1000.0,1.0,0.0,0.0
"Row139","0000301175",5.0,56.0,"34","D","F","Midlands","Midlands","Tin",0.009999999999999998,9.0,0.0,0.0
"Row140","0000301981",8.0,51.0,"47","F","F","North","N West","Gold",9000.01,8.0,0.0,0.0
"Row141","0000310786",9.0,50.0,"24","C","F","South East","London","Gold",12000.0,2.0,0.0,0.0
"Row142","0000312169",4.0,46.0,"38","E",,"North","N West","Tin",0.009999999999999998,5.0,0.0,0.0
"Row143","0000312762",8.0,41.0,"08","B","F","South East","S & S East","Silver",1675.0,7.0,1.0,1.0
"Row144","0000315559",8.0,60.0,"10","B","M","South East","London","Silver",100.01,8.0,0.0,0.0
"Row145","0000315788",10.0,70.0,"15","B","F","South East","S & S East","Silver",2250.0,8.0,0.0,0.0
"Row146","0000316350",9.0,50.0,"28","D","F","South East","London","Tin",0.009999999999999998,9.0,1.0,1.0
"Row147","0000317640",15.0,37.0,"49","F","F","Midlands","Midlands","Tin",0.009999999999999998,8.0,1.0,1.0
"Row148","0000317950",9.0,74.0,"18","C","F","South East","London","Silver",3000.0,5.0,0.0,0.0
"Row149","0000318922",8.0,61.0,"37","E",,"South West","S West","Silver",1200.0,6.0,1.0,1.0
"Row150","0000323039",8.0,49.0,"04","A",,"North","N West","Silver",4000.0,3.0,0.0,0.0
"Row151","0000324469",7.0,,"34","D","F","South East","S & S East","Tin",0.009999999999999998,8.0,0.0,0.0
"Row152","0000331341",9.0,53.0,"11","B","M","Scottish","C Scotland","Gold",6000.0,4.0,0.0,0.0
"Row153","0000332658",4.0,,"34","D","F","Midlands","Midlands","Tin",0.009999999999999998,5.0,0.0,0.0
"Row154","0000335606",,59.0,"45","E","U","Scottish","Border","Silver",2500.0,7.0,0.0,0.0
"Row155","0000340146",7.0,63.0,"12","B",,"North","N West","Tin",0.009999999999999998,5.0,0.0,0.0
"Row156","0000342033",7.0,51.0,"32","D","F","North","N West","Silver",3026.6699999999996,10.0,0.0,0.0
"Row157","0000343102",5.0,62.0,"27","D","F","North","N West","Platinum",56053.35,7.0,0.0,0.0
"Row158","0000345474",3.0,46.0,"23","C","F","South East","S & S East","Silver",0.09999999999999999,10.0,0.0,0.0
"Row159","0000345865",10.0,39.0,"38","E","M","North","Yorkshire","Gold",7500.0,2.0,1.0,1.0
"Row160","0000346225",6.0,53.0,"36","E","M","South East","S & S East","Silver",3000.0,6.0,1.0,1.0
"Row161","0000346403",10.0,,"27","D",,"Midlands","Midlands","Tin",0.009999999999999998,5.0,0.0,0.0
"Row162","0000347086",7.0,48.0,"21","C","F","South East","London","Silver",5000.0,4.0,0.0,0.0
"Row163","0000347531",7.0,62.0,"12","B","F","South East","S & S East","Gold",12808.95,11.0,0.0,0.0
"Row164","0000349291",9.0,26.0,"12","B","M","South East","London","Silver",4000.0,1.0,0.0,0.0
"Row165","0000349739",7.0,,"41","E","F","North","N East","Silver",2500.0,5.0,0.0,0.0
"Row166","0000351482",6.0,43.0,"41","E","F","South West","S West","Gold",6000.0,2.0,0.0,0.0
"Row167","0000356425",7.0,78.0,"41","E","F","Midlands","Midlands","Gold",6000.0,5.0,0.0,0.0
"Row168","0000356719",3.0,67.0,"19","C","F","Midlands","East","Gold",12049.25,3.0,0.0,0.0
"Row169","0000357898",2.0,45.0,"27","D","F","North","N West","Tin",0.009999999999999998,5.0,0.0,0.0
"Row170","0000358649",10.0,60.0,"32","D",,"Scottish","C Scotland","Tin",0.009999999999999998,5.0,0.0,0.0
"Row171","0000359955",13.0,68.0,"44","E","F","South East","London","Gold",7500.0,6.0,0.0,0.0
"Row172","0000361283",14.0,74.0,"04","A","U","South East","S & S East","Platinum",20245.89,3.0,0.0,0.0
"Row173","0000362468",5.0,53.0,"35","D","M","Midlands","Midlands","Tin",0.009999999999999998,8.0,0.0,0.0
"Row174","0000369225",5.0,51.0,"23","C","M","Scottish","C Scotland","Silver",420.0,8.0,0.0,0.0
"Row175","0000369780",9.0,,"04","A","F","South East","S & S East","Platinum",25000.0,1.0,0.0,0.0
"Row176","0000370398",6.0,51.0,"52","F","F","South East","S & S East","Silver",200.0,1.0,0.0,0.0
"Row177","0000370622",5.0,51.0,"04","A","U","South East","S & S East","Silver",200.0,2.0,0.0,0.0
"Row178","0000371475",11.0,36.0,"21","C","M","South East","London","Tin",0.009999999999999998,4.0,0.0,0.0
"Row179","0000374644",8.0,63.0,"49","F","F","Midlands","Wales & West","Gold",6000.0,2.0,0.0,0.0
"Row180","0000375330",8.0,69.0,"16","C","F","South East","S & S East","Silver",500.0,9.0,0.0,0.0
"Row181","0000376078",11.0,40.0,"32","D","F","Midlands","Midlands","Tin",0.009999999999999998,5.0,1.0,1.0
"Row182","0000380113",4.0,46.0,"45","E","F","Midlands","Wales & West","Silver",2165.75,11.0,0.0,0.0
"Row183","0000393347",,46.0,"34","D","M","South East","S & S East","Tin",0.009999999999999998,8.0,0.0,0.0
"Row184","0000396192",8.0,46.0,"04","A","F","South East","S & S East","Silver",2245.0,11.0,1.0,1.0
"Row185","0000397407",9.0,38.0,"35","D","F","North","N West","Tin",0.009999999999999998,5.0,1.0,1.0
"Row186","0000397660",4.0,67.0,"52","F","M","North","N West","Gold",11000.0,5.0,0.0,0.0
"Row187","0000400297",11.0,73.0,"53","F","U","North","Yorkshire","Platinum",26000.0,4.0,0.0,0.0
"Row188","0000403768",5.0,53.0,"11","B","F","Scottish","Border","Gold",9000.0,8.0,0.0,0.0
"Row189","0000407364",6.0,55.0,"37","E","F","Midlands","Midlands","Silver",5000.0,4.0,1.0,1.0
"Row190","0000408964",9.0,54.0,"04","A","F","South East","London","Silver",3000.0,8.0,0.0,0.0
"Row191","0000414832",6.0,45.0,"52","F","M","South East","London","Tin",0.009999999999999998,5.0,0.0,0.0
"Row192","0000418943",10.0,39.0,"25","C","M",,,"Tin",0.009999999999999998,4.0,1.0,1.0
"Row193","0000421979",5.0,58.0,"38","E","F","North","N West","Silver",420.0,4.0,0.0,0.0
"Row194","0000423211",8.0,33.0,"35","D","F","North","N East","Tin",0.009999999999999998,5.0,1.0,1.0
"Row195","0000434671",11.0,35.0,"27","D","M","South East","London","Tin",0.009999999999999998,8.0,1.0,1.0
"Row196","0000435961",4.0,71.0,"04","A","M","North","Yorkshire","Gold",6000.0,12.0,0.0,0.0
"Row197","0000439088",10.0,55.0,"15","B","M","Scottish","Border","Tin",0.009999999999999998,4.0,0.0,0.0
"Row198","0000442542",,57.0,"27","D","M","South West","S West","Silver",480.0,11.0,0.0,0.0
"Row199","0000454702",13.0,53.0,"05","B","M","South East","London","Gold",6871.12,5.0,0.0,0.0
"Row200","0000462705",9.0,58.0,"44","E","F","South East","London","Silver",1500.0,19.0,0.0,0.0
"Row201","0000467812",13.0,43.0,"20","C","M","North","Yorkshire","Tin",0.009999999999999998,5.0,0.0,0.0
"Row202","0000473596",8.0,47.0,"32","D","F","South East","London","Tin",0.009999999999999998,5.0,0.0,0.0
"Row203","0000479403",4.0,74.0,"18","C","M","South East","S & S East","Gold",6000.0,2.0,0.0,0.0
"Row204","0000481572",10.0,49.0,"38","E","M","North","N East","Silver",5000.0,1.0,0.0,0.0
"Row205","0000486701",9.0,58.0,"27","D","F","South East","S & S East","Silver",3000.0,9.0,0.0,0.0
"Row206","0000492566",8.0,56.0,"27","D","F","Midlands","Midlands","Tin",0.009999999999999998,8.0,0.0,0.0
"Row207","0000498300",5.0,47.0,"14","B","F","South East","S & S East","Gold",6000.0,1.0,0.0,0.0
"Row208","0000500100",14.0,30.0,"52","F","F","Midlands","Midlands","Silver",100.0,1.0,1.0,1.0
"Row209","0000502316",3.0,68.0,"30","D","F","South East","S & S East","Platinum",50000.0,4.0,1.0,1.0
"Row210","0000503053",8.0,45.0,"35","D","F","North","N West","Silver",1000.0,4.0,0.0,0.0
"Row211","0000518069",7.0,71.0,"04","A","F","South East","London","Gold",12000.0,6.0,0.0,0.0
"Row212","0000523259",10.0,65.0,"28","D","F","South East","S & S East","Gold",9053.349999999999,8.0,0.0,0.0
"Row213","0000528102",10.0,74.0,"24","C","F","South East","London","Gold",19000.0,5.0,0.0,0.0
"Row214","0000530042",10.0,43.0,"32","D","F","North","N West","Tin",0.009999999999999998,5.0,1.0,1.0
"Row215","0000532479",11.0,44.0,"42","E","F","South West","S West","Silver",500.0,9.0,0.0,0.0
"Row216","0000543004",9.0,65.0,"48","F","U","South East","London","Silver",3000.0,5.0,0.0,0.0
"Row217","0000543683",7.0,46.0,"28","D","M","South East","S & S East","Gold",17409.760000000002,12.0,0.0,0.0
"Row218","0000553115",8.0,29.0,"52","F","F","Midlands","Midlands","Silver",2000.0,12.0,0.0,0.0
"Row219","0000580287",7.0,53.0,"20","C","F","Midlands","Wales & West","Tin",0.009999999999999998,5.0,1.0,1.0
"Row220","0000588784",9.0,64.0,"37","E","M","Midlands","Midlands","Silver",1000.0,12.0,0.0,0.0
"Row221","0000595233",10.0,49.0,"30","D","M","South East","S & S East","Silver",3000.0,5.0,1.0,1.0
"Row222","0000598453",17.0,59.0,"51","F","F","South East","London","Gold",12000.0,8.0,1.0,2.0
"Row223","0000600504",8.0,37.0,"52","F","F","North","N West","Tin",0.009999999999999998,5.0,0.0,0.0
"Row224","0000601969",5.0,60.0,"14","B",,"South East","London","Gold",10000.0,2.0,0.0,0.0
"Row225","0000602906",10.0,64.0,"52","F",,"North","Yorkshire","Tin",0.009999999999999998,4.0,0.0,0.0
"Row226","0000604011",3.0,,"16","C","F","North","N West","Silver",5000.0,4.0,0.0,0.0
"Row227","0000606316",15.0,51.0,"26","C","F","South East","London","Silver",3000.0,8.0,1.0,1.0
"Row228","0000607118",8.0,47.0,,,"F","Midlands","Midlands","Tin",0.009999999999999998,5.0,0.0,0.0
"Row229","0000607444",18.0,51.0,"11","B","F","Midlands","Wales & West","Silver",3000.0,3.0,0.0,0.0
"Row230","0000608378",5.0,58.0,"34","D","F","Scottish","C Scotland","Silver",3050.0,11.0,0.0,0.0
"Row231","0000610283",9.0,46.0,"01","A","M","South East","London","Tin",0.009999999999999998,9.0,0.0,0.0
"Row232","0000611662",5.0,48.0,"31","D","U","South East","London","Tin",0.009999999999999998,5.0,0.0,0.0
"Row233","0000618284",15.0,,"41","E","F","Midlands","East","Silver",0.019999999999999997,,1.0,2.0
"Row234","0000621358",4.0,61.0,"19","C","F","Midlands","Midlands","Gold",6000.0,1.0,0.0,0.0
"Row235","0000630888",9.0,38.0,"17","C","F","Midlands","Midlands","Tin",0.009999999999999998,5.0,1.0,1.0
"Row236","0000633380",7.0,68.0,"41","E","M","South East","S & S East","Gold",15000.01,6.0,0.0,0.0
"Row237","0000633542",12.0,76.0,"53","F","F","Midlands","Wales & West","Gold",6000.0,2.0,0.0,0.0
"Row238","0000641022",4.0,56.0,"32","D","F","North","Yorkshire","Tin",0.009999999999999998,8.0,0.0,0.0
"Row239","0000642568",8.0,73.0,"02","A","M","North","N East","Silver",360.0,1.0,1.0,1.0
"Row240","0000649007",8.0,37.0,"33","D","F","Midlands","Midlands","Tin",0.009999999999999998,9.0,1.0,1.0
"Row241","0000653500",,32.0,"25","C","F","Midlands","Midlands","Silver",2500.0,1.0,1.0,1.0
"Row242","0000663603",11.0,74.0,"01","A","F","South East","London","Silver",3350.0,4.0,0.0,0.0
"Row243","0000666238",9.0,65.0,"30","D","M","North","Yorkshire","Gold",6107.639999999999,,0.0,0.0
"Row244","0000667692",5.0,60.0,"37","E","F","Midlands","Midlands","Silver",5000.0,2.0,0.0,0.0
"Row245","0000669067",10.0,35.0,"30","D","F","Scottish","C Scotland","Silver",1500.0,4.0,0.0,0.0
"Row246","0000672785",6.0,46.0,"23","C","F","Scottish","N Scot","Gold",6544.99,1.0,0.0,0.0
"Row247","0000674885",3.0,46.0,"37","E","F","South East","London","Gold",6000.0,5.0,0.0,0.0
"Row248","0000682144",5.0,70.0,"41","E","F","South East","London","Platinum",21684.94,0.0,0.0,0.0
"Row249","0000691178",9.0,37.0,,,"M","Midlands","Ulster","Gold",10000.0,11.0,1.0,1.0
"Row250","0000693847",4.0,46.0,"08","B","U","South East","S & S East","Gold",6000.0,3.0,0.0,0.0
"Row251","0000708569",3.0,68.0,"43","E","U","Scottish","C Scotland","Silver",4000.0,18.0,0.0,0.0
"Row252","0000711616",10.0,,"08","B","U","Midlands","Midlands","Platinum",50000.0,4.0,0.0,0.0
"Row253","0000714054",11.0,,"32","D","U","Midlands","Wales & West","Silver",5000.0,5.0,0.0,0.0
