"iid","gender","age","imprace","imprelig","exphappy","expnum","dec","attr","sinc","intel","fun","amb","shar","satis_2","length"
6,0,23,1,1,4,3,0,4.0,8.0,9.0,2.0,8.0,3.0,3,3
6,0,23,1,1,4,3,1,7.0,6.0,8.0,8.0,6.0,9.0,3,3
6,0,23,1,1,4,3,1,8.0,9.0,9.0,9.0,10.0,7.0,3,3
7,0,22,2,4,7,3,0,4.0,8.0,8.0,5.0,7.0,4.0,,
7,0,22,2,4,7,3,0,6.0,6.0,8.0,4.0,9.0,4.0,,
7,0,22,2,4,7,3,0,3.0,6.0,8.0,7.0,8.0,8.0,,
7,0,22,2,4,7,3,1,7.0,8.0,8.0,7.0,7.0,6.0,,
7,0,22,2,4,7,3,0,4.0,7.0,7.0,4.0,8.0,5.0,,
7,0,22,2,4,7,3,0,4.0,8.0,7.0,4.0,5.0,4.0,,
7,0,22,2,4,7,3,1,7.0,7.0,8.0,7.0,7.0,7.0,,
7,0,22,2,4,7,3,0,5.0,7.0,8.0,5.0,9.0,5.0,,
7,0,22,2,4,7,3,1,6.0,6.0,8.0,8.0,8.0,6.0,,
7,0,22,2,4,7,3,1,8.0,6.0,7.0,7.0,8.0,6.0,,
8,0,25,1,1,6,10,1,5.0,8.0,7.0,4.0,7.0,5.0,,
8,0,25,1,1,6,10,1,8.0,7.0,7.0,9.0,6.0,7.0,,
8,0,25,1,1,6,10,1,5.0,8.0,8.0,6.0,7.0,7.0,,
8,0,25,1,1,6,10,1,8.0,6.0,5.0,6.0,6.0,5.0,,
8,0,25,1,1,6,10,1,6.0,8.0,8.0,5.0,6.0,7.0,,
8,0,25,1,1,6,10,1,6.0,8.0,8.0,5.0,6.0,7.0,,
8,0,25,1,1,6,10,1,6.0,7.0,8.0,5.0,7.0,7.0,,
8,0,25,1,1,6,10,1,5.0,6.0,7.0,4.0,5.0,6.0,,
8,0,25,1,1,6,10,1,8.0,8.0,5.0,9.0,8.0,9.0,,
8,0,25,1,1,6,10,1,7.0,6.0,8.0,7.0,9.0,8.0,,
9,0,26,1,1,6,15,1,8.0,10.0,9.0,8.0,7.0,6.0,6,2
9,0,26,1,1,6,15,1,10.0,10.0,10.0,10.0,10.0,10.0,6,2
9,0,26,1,1,6,15,1,5.0,10.0,10.0,6.0,6.0,6.0,6,2
9,0,26,1,1,6,15,1,10.0,9.0,8.0,8.0,7.0,7.0,6,2
9,0,26,1,1,6,15,1,5.0,10.0,8.0,8.0,5.0,5.0,6,2
9,0,26,1,1,6,15,1,8.0,9.0,9.0,7.0,6.0,5.0,6,2
9,0,26,1,1,6,15,1,6.0,8.0,9.0,6.0,6.0,6.0,6,2
9,0,26,1,1,6,15,1,6.0,7.0,8.0,7.0,9.0,6.0,6,2
9,0,26,1,1,6,15,1,8.0,5.0,5.0,6.0,5.0,5.0,6,2
9,0,26,1,1,6,15,1,7.0,8.0,7.0,8.0,7.0,8.0,6,2
10,0,26,4,4,7,10,0,6.0,10.0,10.0,6.0,6.0,,2,2
10,0,26,4,4,7,10,0,1.0,1.0,1.0,1.0,1.0,,2,2
10,0,26,4,4,7,10,1,6.0,10.0,10.0,10.0,6.0,,2,2
10,0,26,4,4,7,10,0,10.0,10.0,10.0,10.0,10.0,,2,2
10,0,26,4,4,7,10,0,5.0,7.0,7.0,7.0,7.0,,2,2
10,0,26,4,4,7,10,0,5.0,10.0,6.0,4.0,6.0,,2,2
10,0,26,4,4,7,10,1,5.0,10.0,8.0,6.0,9.0,,2,2
10,0,26,4,4,7,10,0,5.0,6.0,6.0,4.0,5.0,,2,2
10,0,26,4,4,7,10,1,9.0,9.0,9.0,9.0,9.0,9.0,2,2
10,0,26,4,4,7,10,1,9.0,9.0,8.0,10.0,8.0,8.0,2,2
11,1,27,7,3,7,3,0,6.0,8.0,8.0,8.0,8.0,6.0,7,2
11,1,27,7,3,7,3,0,8.0,7.0,6.0,9.0,7.0,4.0,7,2
11,1,27,7,3,7,3,0,7.0,8.0,6.0,5.0,8.0,4.0,7,2
11,1,27,7,3,7,3,0,6.0,7.0,8.0,7.0,7.0,5.0,7,2
11,1,27,7,3,7,3,0,6.0,8.0,8.0,8.0,7.0,6.0,7,2
11,1,27,7,3,7,3,0,7.0,9.0,8.0,9.0,8.0,4.0,7,2
11,1,27,7,3,7,3,0,7.0,8.0,8.0,8.0,7.0,7.0,7,2
11,1,27,7,3,7,3,0,8.0,7.0,6.0,6.0,6.0,5.0,7,2
11,1,27,7,3,7,3,0,6.0,8.0,7.0,8.0,7.0,5.0,7,2
11,1,27,7,3,7,3,0,7.0,8.0,7.0,8.0,6.0,5.0,7,2
12,1,22,1,1,7,20,0,7.0,8.0,10.0,7.0,7.0,5.0,,
12,1,22,1,1,7,20,0,7.0,6.0,10.0,6.0,6.0,5.0,,
12,1,22,1,1,7,20,0,6.0,7.0,10.0,6.0,6.0,5.0,,
12,1,22,1,1,7,20,0,6.0,5.0,10.0,6.0,6.0,5.0,,
12,1,22,1,1,7,20,0,6.0,7.0,10.0,7.0,6.0,5.0,,
12,1,22,1,1,7,20,0,6.0,8.0,10.0,6.0,7.0,6.0,,
12,1,22,1,1,7,20,1,7.0,9.0,10.0,6.0,6.0,5.0,,
12,1,22,1,1,7,20,1,8.0,8.0,10.0,7.0,6.0,5.0,,
12,1,22,1,1,7,20,1,8.0,8.0,10.0,7.0,6.0,5.0,,
12,1,22,1,1,7,20,0,1.0,1.0,1.0,1.0,1.0,1.0,,
13,1,22,3,5,3,4,1,10.0,10.0,10.0,10.0,10.0,10.0,10,3
13,1,22,3,5,3,4,1,10.0,10.0,10.0,10.0,10.0,10.0,10,3
13,1,22,3,5,3,4,1,10.0,10.0,10.0,10.0,10.0,10.0,10,3
13,1,22,3,5,3,4,1,10.0,10.0,10.0,10.0,10.0,10.0,10,3
13,1,22,3,5,3,4,1,10.0,10.0,10.0,10.0,10.0,10.0,10,3
13,1,22,3,5,3,4,1,10.0,10.0,10.0,10.0,10.0,10.0,10,3
13,1,22,3,5,3,4,1,10.0,10.0,10.0,10.0,10.0,10.0,10,3
13,1,22,3,5,3,4,1,10.0,10.0,10.0,10.0,10.0,10.0,10,3
13,1,22,3,5,3,4,1,10.0,10.0,10.0,10.0,10.0,10.0,10,3
13,1,22,3,5,3,4,1,10.0,10.0,10.0,10.0,10.0,10.0,10,3
14,1,23,1,1,8,15,1,7.0,8.0,9.0,8.0,9.0,8.0,6,3
14,1,23,1,1,8,15,1,9.0,9.0,9.0,9.0,9.0,9.0,6,3
14,1,23,1,1,8,15,1,7.0,9.0,8.0,8.0,8.0,8.0,6,3
14,1,23,1,1,8,15,1,7.0,7.0,7.0,9.0,9.0,9.0,6,3
14,1,23,1,1,8,15,1,6.0,8.0,6.0,8.0,10.0,10.0,6,3
14,1,23,1,1,8,15,1,6.0,8.0,8.0,7.0,9.0,8.0,6,3
14,1,23,1,1,8,15,1,8.0,8.0,9.0,8.0,9.0,9.0,6,3
14,1,23,1,1,8,15,1,8.0,8.0,8.0,8.0,8.0,7.0,6,3
14,1,23,1,1,8,15,1,7.0,8.0,7.0,8.0,8.0,7.0,6,3
14,1,23,1,1,8,15,1,7.0,8.0,7.0,9.0,8.0,8.0,6,3
15,1,24,3,1,5,9,1,8.0,7.0,9.0,6.0,9.0,7.0,8,2
15,1,24,3,1,5,9,1,10.0,10.0,10.0,10.0,7.0,8.0,8,2
15,1,24,3,1,5,9,1,6.0,10.0,8.0,6.0,,,8,2
15,1,24,3,1,5,9,1,8.0,8.0,9.0,8.0,8.0,9.0,8,2
15,1,24,3,1,5,9,0,5.0,9.0,9.0,7.0,9.0,5.0,8,2
15,1,24,3,1,5,9,1,9.0,7.0,9.0,7.0,9.0,6.0,8,2
15,1,24,3,1,5,9,1,8.0,7.0,9.0,6.0,9.0,5.0,8,2
15,1,24,3,1,5,9,1,9.0,9.0,8.0,9.0,,7.0,8,2
15,1,24,3,1,5,9,1,7.0,9.0,8.0,9.0,7.0,7.0,8,2
15,1,24,3,1,5,9,1,6.0,9.0,9.0,7.0,8.0,,8,2
16,1,25,9,2,7,10,1,7.0,7.0,8.0,8.0,7.0,7.0,7,2
16,1,25,9,2,7,10,1,7.0,8.0,7.0,5.0,7.0,7.0,7,2
16,1,25,9,2,7,10,1,7.0,6.0,6.0,6.0,6.0,6.0,7,2
16,1,25,9,2,7,10,1,6.0,6.0,7.0,7.0,8.0,7.0,7,2
16,1,25,9,2,7,10,0,5.0,8.0,7.0,7.0,7.0,7.0,7,2
16,1,25,9,2,7,10,1,6.0,6.0,8.0,8.0,8.0,7.0,7,2
16,1,25,9,2,7,10,1,8.0,8.0,8.0,6.0,6.0,6.0,7,2
16,1,25,9,2,7,10,1,8.0,7.0,7.0,7.0,8.0,7.0,7,2
16,1,25,9,2,7,10,1,6.0,6.0,7.0,8.0,7.0,7.0,7,2
16,1,25,9,2,7,10,0,,8.0,7.0,7.0,7.0,7.0,7,2
17,1,30,1,1,4,2,0,3.0,6.0,7.0,5.0,8.0,7.0,5,3
17,1,30,1,1,4,2,0,5.0,3.0,4.0,3.0,5.0,3.0,5,3
17,1,30,1,1,4,2,0,6.0,3.0,5.0,4.0,5.0,4.0,5,3
17,1,30,1,1,4,2,1,7.0,6.0,3.0,5.0,6.0,5.0,5,3
17,1,30,1,1,4,2,0,2.0,3.0,4.0,4.0,5.0,3.0,5,3
17,1,30,1,1,4,2,0,5.0,6.0,8.0,4.0,5.0,4.0,5,3
17,1,30,1,1,4,2,0,7.0,6.0,5.0,4.0,4.0,3.0,5,3
17,1,30,1,1,4,2,0,6.0,4.0,7.0,5.0,6.0,4.0,5,3
17,1,30,1,1,4,2,1,8.0,6.0,7.0,8.0,6.0,5.0,5,3
17,1,30,1,1,4,2,0,7.0,7.0,4.0,3.0,4.0,4.0,5,3
18,1,27,8,8,5,2,0,6.0,7.0,5.0,6.0,8.0,6.0,5,2
18,1,27,8,8,5,2,1,7.0,7.0,7.0,7.0,7.0,5.0,5,2
18,1,27,8,8,5,2,0,4.0,5.0,6.0,4.0,6.0,4.0,5,2
18,1,27,8,8,5,2,0,6.0,7.0,8.0,6.0,6.0,5.0,5,2
18,1,27,8,8,5,2,0,5.0,5.0,6.0,5.0,5.0,5.0,5,2
18,1,27,8,8,5,2,0,6.0,7.0,8.0,7.0,8.0,5.0,5,2
18,1,27,8,8,5,2,1,8.0,7.0,6.0,7.0,7.0,5.0,5,2
18,1,27,8,8,5,2,1,9.0,8.0,8.0,8.0,7.0,5.0,5,2
18,1,27,8,8,5,2,0,7.0,7.0,7.0,7.0,6.0,5.0,5,2
18,1,27,8,8,5,2,0,6.0,6.0,6.0,6.0,6.0,5.0,5,2
19,1,28,1,1,10,20,1,7.0,7.0,8.0,8.0,8.0,9.0,,
19,1,28,1,1,10,20,1,8.0,6.0,9.0,9.0,8.0,7.0,,
19,1,28,1,1,10,20,1,7.0,7.0,6.0,8.0,7.0,7.0,,
19,1,28,1,1,10,20,1,7.0,7.0,7.0,10.0,9.0,10.0,,
19,1,28,1,1,10,20,1,5.0,9.0,9.0,9.0,9.0,6.0,,
19,1,28,1,1,10,20,1,6.0,7.0,7.0,6.0,6.0,6.0,,
19,1,28,1,1,10,20,1,9.0,7.0,9.0,9.0,9.0,10.0,,
19,1,28,1,1,10,20,1,8.0,7.0,8.0,10.0,8.0,10.0,,
19,1,28,1,1,10,20,1,6.0,6.0,6.0,7.0,6.0,6.0,,
19,1,28,1,1,10,20,1,7.0,7.0,7.0,7.0,6.0,6.0,,
20,1,24,1,1,6,19,0,6.0,6.0,6.0,6.0,6.0,6.0,,
20,1,24,1,1,6,19,0,6.0,5.0,7.0,7.0,9.0,7.0,,
20,1,24,1,1,6,19,0,5.0,6.0,8.0,5.0,8.0,6.0,,
20,1,24,1,1,6,19,0,7.0,8.0,8.0,7.0,8.0,7.0,,
20,1,24,1,1,6,19,0,3.0,10.0,7.0,7.0,10.0,5.0,,
20,1,24,1,1,6,19,0,7.0,10.0,10.0,6.0,10.0,7.0,,
20,1,24,1,1,6,19,0,7.0,6.0,8.0,6.0,8.0,7.0,,
20,1,24,1,1,6,19,1,8.0,10.0,9.0,9.0,8.0,8.0,,
20,1,24,1,1,6,19,0,5.0,6.0,6.0,6.0,6.0,6.0,,
20,1,24,1,1,6,19,0,6.0,6.0,6.0,6.0,6.0,6.0,,
21,0,21,8,10,5,0,0,6.0,8.0,7.0,9.0,5.0,7.0,6,3
21,0,21,8,10,5,0,0,5.0,8.0,7.0,5.0,9.0,5.0,6,3
21,0,21,8,10,5,0,1,8.0,9.0,8.0,8.0,7.0,6.0,6,3
21,0,21,8,10,5,0,0,5.0,8.0,8.0,4.0,9.0,3.0,6,3
21,0,21,8,10,5,0,0,7.0,7.0,8.0,5.0,7.0,2.0,6,3
21,0,21,8,10,5,0,0,6.0,8.0,8.0,6.0,8.0,4.0,6,3
21,0,21,8,10,5,0,0,6.0,8.0,8.0,6.0,8.0,5.0,6,3
21,0,21,8,10,5,0,0,4.0,7.0,7.0,4.0,7.0,3.0,6,3
21,0,21,8,10,5,0,0,7.0,7.0,7.0,5.0,6.0,3.0,6,3
21,0,21,8,10,5,0,1,9.0,9.0,10.0,9.0,9.0,8.0,6,3
21,0,21,8,10,5,0,0,5.0,7.0,7.0,7.0,7.0,6.0,6,3
21,0,21,8,10,5,0,0,7.0,4.0,6.0,4.0,4.0,2.0,6,3
21,0,21,8,10,5,0,0,5.0,8.0,8.0,5.0,8.0,2.0,6,3
21,0,21,8,10,5,0,0,6.0,8.0,7.0,7.0,7.0,2.0,6,3
21,0,21,8,10,5,0,0,6.0,8.0,7.0,6.0,8.0,2.0,6,3
21,0,21,8,10,5,0,0,5.0,9.0,9.0,8.0,9.0,5.0,6,3
22,0,27,1,2,4,2,0,5.0,7.0,7.0,6.0,7.0,5.0,6,3
22,0,27,1,2,4,2,0,4.0,7.0,6.0,6.0,7.0,2.0,6,3
22,0,27,1,2,4,2,0,5.0,6.0,6.0,5.0,6.0,3.0,6,3
22,0,27,1,2,4,2,0,5.0,7.0,7.0,5.0,7.0,3.0,6,3
22,0,27,1,2,4,2,1,6.0,8.0,8.0,7.0,7.0,6.0,6,3
22,0,27,1,2,4,2,1,6.0,7.0,7.0,4.0,6.0,6.0,6,3
22,0,27,1,2,4,2,1,8.0,7.0,7.0,7.0,6.0,7.0,6,3
22,0,27,1,2,4,2,0,5.0,7.0,7.0,6.0,6.0,5.0,6,3
22,0,27,1,2,4,2,1,7.0,7.0,7.0,7.0,7.0,6.0,6,3
22,0,27,1,2,4,2,0,6.0,7.0,7.0,5.0,7.0,4.0,6,3
22,0,27,1,2,4,2,1,5.0,6.0,7.0,7.0,7.0,7.0,6,3
22,0,27,1,2,4,2,0,3.0,4.0,5.0,4.0,4.0,2.0,6,3
22,0,27,1,2,4,2,0,3.0,6.0,7.0,5.0,5.0,4.0,6,3
22,0,27,1,2,4,2,1,7.0,7.0,8.0,6.0,7.0,8.0,6,3
22,0,27,1,2,4,2,0,4.0,5.0,5.0,4.0,5.0,4.0,6,3
22,0,27,1,2,4,2,1,6.0,7.0,7.0,7.0,7.0,7.0,6,3
23,0,21,9,6,5,3,1,5.0,7.0,6.0,6.0,6.0,7.0,7,2
23,0,21,9,6,5,3,0,5.0,7.0,7.0,6.0,6.0,7.0,7,2
23,0,21,9,6,5,3,1,6.0,6.0,7.0,6.0,6.0,6.0,7,2
23,0,21,9,6,5,3,1,5.0,7.0,8.0,6.0,6.0,7.0,7,2
23,0,21,9,6,5,3,1,7.0,7.0,7.0,6.0,6.0,9.0,7,2
23,0,21,9,6,5,3,1,6.0,7.0,7.0,6.0,7.0,5.0,7,2
23,0,21,9,6,5,3,1,7.0,6.0,7.0,7.0,7.0,6.0,7,2
23,0,21,9,6,5,3,0,5.0,6.0,7.0,6.0,6.0,6.0,7,2
23,0,21,9,6,5,3,0,6.0,6.0,6.0,8.0,6.0,5.0,7,2
23,0,21,9,6,5,3,1,7.0,7.0,6.0,7.0,6.0,7.0,7,2
23,0,21,9,6,5,3,1,6.0,6.0,7.0,8.0,8.0,7.0,7,2
23,0,21,9,6,5,3,0,7.0,6.0,5.0,4.0,4.0,4.0,7,2
23,0,21,9,6,5,3,0,6.0,6.0,5.0,7.0,5.0,6.0,7,2
23,0,21,9,6,5,3,0,,,,,,,7,2
23,0,21,9,6,5,3,0,6.0,7.0,6.0,6.0,5.0,5.0,7,2
23,0,21,9,6,5,3,0,6.0,8.0,7.0,6.0,7.0,5.0,7,2
24,0,27,2,3,5,3,0,5.0,6.0,7.0,7.0,7.0,,3,3
24,0,27,2,3,5,3,0,7.0,8.0,,,8.0,,3,3
24,0,27,2,3,5,3,0,6.0,8.0,,7.0,,,3,3
24,0,27,2,3,5,3,0,7.0,8.0,8.0,8.0,,,3,3
24,0,27,2,3,5,3,0,5.0,8.0,8.0,,8.0,6.0,3,3
24,0,27,2,3,5,3,0,7.0,7.0,8.0,,8.0,,3,3
24,0,27,2,3,5,3,1,9.0,8.0,7.0,8.0,,8.0,3,3
24,0,27,2,3,5,3,0,5.0,7.0,7.0,7.0,7.0,7.0,3,3
24,0,27,2,3,5,3,0,7.0,7.0,7.0,8.0,7.0,,3,3
24,0,27,2,3,5,3,0,6.0,,,8.0,,6.0,3,3
24,0,27,2,3,5,3,0,6.0,8.0,,8.0,,,3,3
24,0,27,2,3,5,3,0,6.0,6.0,8.0,7.0,8.0,,3,3
24,0,27,2,3,5,3,0,4.0,,,6.0,8.0,7.0,3,3
24,0,27,2,3,5,3,1,8.0,,,7.0,8.0,8.0,3,3
24,0,27,2,3,5,3,0,6.0,8.0,,8.0,8.0,8.0,3,3
24,0,27,2,3,5,3,0,8.0,7.0,7.0,,,2.0,3,3
25,0,25,10,2,5,4,0,7.0,8.0,9.0,6.0,8.0,5.0,3,1
25,0,25,10,2,5,4,0,5.0,8.0,8.0,6.0,8.0,5.0,3,1
25,0,25,10,2,5,4,0,6.0,7.0,8.0,7.0,9.0,7.0,3,1
25,0,25,10,2,5,4,0,4.0,5.0,10.0,4.0,10.0,4.0,3,1
25,0,25,10,2,5,4,0,6.0,7.0,9.0,7.0,9.0,3.0,3,1
25,0,25,10,2,5,4,0,6.0,8.0,7.0,5.0,8.0,7.0,3,1
25,0,25,10,2,5,4,0,7.0,8.0,8.0,6.0,10.0,6.0,3,1
25,0,25,10,2,5,4,0,3.0,8.0,9.0,8.0,10.0,5.0,3,1
25,0,25,10,2,5,4,0,7.0,8.0,8.0,8.0,6.0,6.0,3,1
25,0,25,10,2,5,4,0,8.0,8.0,9.0,8.0,9.0,8.0,3,1
25,0,25,10,2,5,4,0,9.0,8.0,9.0,8.0,10.0,7.0,3,1
25,0,25,10,2,5,4,0,6.0,5.0,8.0,7.0,10.0,8.0,3,1
25,0,25,10,2,5,4,0,5.0,4.0,7.0,5.0,9.0,7.0,3,1
25,0,25,10,2,5,4,0,7.0,8.0,9.0,7.0,8.0,5.0,3,1
25,0,25,10,2,5,4,0,5.0,8.0,8.0,6.0,9.0,6.0,3,1
25,0,25,10,2,5,4,0,7.0,7.0,7.0,8.0,8.0,6.0,3,1
26,0,23,2,4,7,10,0,2.0,5.0,5.0,3.0,5.0,2.0,,
26,0,23,2,4,7,10,0,2.0,5.0,5.0,3.0,5.0,2.0,,
26,0,23,2,4,7,10,0,2.0,5.0,5.0,3.0,7.0,3.0,,
26,0,23,2,4,7,10,0,2.0,6.0,7.0,1.0,7.0,2.0,,
26,0,23,2,4,7,10,0,3.0,8.0,7.0,6.0,6.0,4.0,,
26,0,23,2,4,7,10,0,4.0,7.0,6.0,1.0,4.0,3.0,,
26,0,23,2,4,7,10,0,7.0,4.0,5.0,6.0,5.0,4.0,,
26,0,23,2,4,7,10,0,3.0,7.0,6.0,4.0,6.0,2.0,,
26,0,23,2,4,7,10,0,6.0,5.0,5.0,7.0,6.0,3.0,,
26,0,23,2,4,7,10,0,5.0,8.0,8.0,7.0,7.0,6.0,,
26,0,23,2,4,7,10,0,7.0,6.0,6.0,7.0,6.0,6.0,,
26,0,23,2,4,7,10,0,6.0,7.0,6.0,5.0,6.0,6.0,,
26,0,23,2,4,7,10,0,2.0,7.0,6.0,4.0,4.0,4.0,,
26,0,23,2,4,7,10,0,6.0,8.0,8.0,6.0,7.0,5.0,,
26,0,23,2,4,7,10,0,2.0,8.0,7.0,2.0,7.0,2.0,,
26,0,23,2,4,7,10,0,6.0,6.0,6.0,6.0,6.0,4.0,,
27,0,22,1,5,5,4,0,2.0,6.0,6.0,6.0,6.0,,3,1
27,0,22,1,5,5,4,0,1.0,6.0,4.0,2.0,1.0,,3,1
27,0,22,1,5,5,4,0,1.0,4.0,6.0,2.0,6.0,1.0,3,1
27,0,22,1,5,5,4,0,1.0,6.0,7.0,6.0,4.0,3.0,3,1
27,0,22,1,5,5,4,0,1.0,3.0,4.0,2.0,2.0,1.0,3,1
27,0,22,1,5,5,4,0,3.0,6.0,6.0,4.0,5.0,1.0,3,1
27,0,22,1,5,5,4,1,8.0,7.0,6.0,6.0,4.0,4.0,3,1
27,0,22,1,5,5,4,0,1.0,4.0,5.0,4.0,4.0,4.0,3,1
27,0,22,1,5,5,4,0,4.0,6.0,4.0,5.0,6.0,7.0,3,1
27,0,22,1,5,5,4,0,4.0,5.0,4.0,5.0,6.0,,3,1
27,0,22,1,5,5,4,1,6.0,5.0,6.0,7.0,8.0,4.0,3,1
27,0,22,1,5,5,4,0,1.0,2.0,6.0,1.0,6.0,2.0,3,1
27,0,22,1,5,5,4,0,1.0,3.0,7.0,1.0,4.0,2.0,3,1
27,0,22,1,5,5,4,0,6.0,4.0,8.0,3.0,8.0,2.0,3,1
27,0,22,1,5,5,4,0,2.0,4.0,7.0,3.0,6.0,2.0,3,1
27,0,22,1,5,5,4,0,5.0,6.0,6.0,4.0,3.0,4.0,3,1
28,0,26,,,,,0,3.0,6.0,6.0,6.0,5.0,2.0,,
28,0,26,,,,,0,2.0,6.0,5.0,4.0,5.0,2.0,,
28,0,26,,,,,0,3.0,5.0,8.0,5.0,8.0,3.0,,
28,0,26,,,,,0,4.0,6.0,5.0,4.0,4.0,3.0,,
28,0,26,,,,,0,4.0,6.0,7.0,4.0,5.0,2.0,,
28,0,26,,,,,0,4.0,6.0,5.0,3.0,3.0,3.0,,
28,0,26,,,,,1,7.0,8.0,8.0,8.0,5.0,9.0,,
28,0,26,,,,,0,4.0,6.0,6.0,5.0,4.0,3.0,,
28,0,26,,,,,0,6.0,6.0,5.0,6.0,4.0,4.0,,
28,0,26,,,,,0,3.0,5.0,7.0,5.5,5.0,4.0,,
28,0,26,,,,,0,5.0,8.0,9.0,5.0,8.0,6.0,,
28,0,26,,,,,1,5.0,4.5,6.0,4.0,5.5,6.0,,
